School_Number,School_Name,Tested_Count,Level_1,Level_2,Level_3,Level_4,Level_5,Grade,Attend_Rate_Pct,Withdrawals_Pct,Entrants_Pct,FARMS_Pct,Management_type,charter,pass,Enrolled_Count
314,SharpLeadenhall Elementary,11,3,7,1,0,0,Grade 5,92.9,8.6,34.4,67.6,Separate public day,0,1,30
314,SharpLeadenhall Elementary,13,7,5,0,1,0,Grade 4,92.9,8.6,34.4,67.6,Separate public day,0,1,30
371,Lillie May Carroll Jackson School,13,4,6,3,0,0,Grade 5,97.5,30.6,38.3,52,Charter,1,3,197
322,New Song Academy,14,3,6,5,0,0,Grade 5,97.5,2.5,8.5,66.4,New School Initiative,0,5,162
89,Rognel Heights ElementaryMiddle,14,3,8,1,2,0,Grade 3,92.4,21.8,20.2,65.3,Traditional,0,3,250
322,New Song Academy,15,2,7,5,1,0,Grade 4,97.5,2.5,8.5,66.4,New School Initiative,0,6,162
379,Roots and Branches School,15,12,2,1,0,0,Grade 5,91.6,33.9,7.2,68.8,Charter,1,1,156
223,Pimlico Elementary,17,7,7,2,1,0,Grade 5,91,45.2,37.2,70.4,Traditional,0,3,317
87,Windsor Hills Elementary,18,0,7,10,1,0,Grade 5,91.1,20.7,15.4,65.2,Traditional,0,11,296
212,Garrett Heights Elementary,18,9,7,2,0,0,Grade 5,90.9,32.9,12.8,55.1,Traditional,0,2,389
322,New Song Academy,18,6,5,7,0,0,Grade 3,97.5,2.5,8.5,66.4,New School Initiative,0,7,162
262,Empowerment Academy,18,4,6,5,3,0,Grade 3,93.6,2.5,10.8,47.5,Charter,1,8,252
31,Coldstream Park Elementary,18,12,3,3,0,0,Grade 3,89.2,23.8,18.4,65.9,Traditional,0,3,266
28,William Pinderhughes Elementary,19,7,5,2,5,0,Grade 3,90.5,29.4,22,72.9,Traditional,0,7,263
75,Calverton,19,13,5,1,0,0,Grade 4,86.1,47.5,30.6,80.6,Traditional,0,1,646
144,James Mosher Elementary,19,12,2,5,0,0,Grade 3,89.8,13.5,17.4,79.7,Traditional,0,5,251
321,Midtown Academy,19,0,3,9,7,0,Grade 5,97.5,7,2.5,27,Charter,1,16,197
321,Midtown Academy,19,0,4,6,7,2,Grade 4,97.5,7,2.5,27,Charter,1,15,197
379,Roots and Branches School,19,11,8,0,0,0,Grade 4,91.6,33.9,7.2,68.8,Charter,1,0,156
28,William Pinderhughes Elementary,20,12,5,3,0,0,Grade 5,90.5,29.4,22,72.9,Traditional,0,3,263
87,Windsor Hills Elementary,20,5,4,6,5,0,Grade 3,91.1,20.7,15.4,65.2,Traditional,0,11,296
87,Windsor Hills Elementary,21,3,9,4,5,0,Grade 4,91.1,20.7,15.4,65.2,Traditional,0,9,296
31,Coldstream Park Elementary,21,10,11,0,0,0,Grade 5,89.2,23.8,18.4,65.9,Traditional,0,0,266
89,Rognel Heights ElementaryMiddle,21,7,10,4,0,0,Grade 4,92.4,21.8,20.2,65.3,Traditional,0,4,250
134,Walter P. Carter Elementary,22,13,5,4,0,0,Grade 3,93.6,23.1,21.7,70,Traditional,0,4,334
321,Midtown Academy,22,2,4,6,7,3,Grade 3,97.5,7,2.5,27,Charter,1,16,197
63,Rosemont Elementary,23,2,7,5,9,0,Grade 5,88.1,22.8,14.5,72.6,Charter,1,14,329
326,City Neighbors Charter School,23,7,9,7,0,0,Grade 4,97.5,2.5,2.5,19.4,Charter,1,7,227
326,City Neighbors Charter School,23,5,7,5,6,0,Grade 5,97.5,2.5,2.5,19.4,Charter,1,11,227
332,The Green School,23,9,3,5,6,0,Grade 5,97.5,2.5,2.5,17.6,Charter,1,11,161
89,Rognel Heights ElementaryMiddle,23,9,8,6,0,0,Grade 5,92.4,21.8,20.2,65.3,Traditional,0,6,250
76,Francis Scott Key ElementaryMiddle,24,2,6,8,8,0,Grade 4,94.9,5.5,11.5,17.6,Traditional,0,16,439
145,Alexander Hamilton Elementary,24,8,8,5,3,0,Grade 3,87.9,22.6,19.9,83.3,Traditional,0,8,223
35,Harlem Park Elementary,25,14,7,4,0,0,Grade 3,90.3,21.5,11,85,Traditional,0,4,334
75,Calverton,25,19,4,2,0,0,Grade 5,86.1,47.5,30.6,80.6,Traditional,0,2,646
76,Francis Scott Key ElementaryMiddle,25,8,4,5,6,2,Grade 5,94.9,5.5,11.5,17.6,Traditional,0,13,439
134,Walter P. Carter Elementary,25,7,12,6,0,0,Grade 5,93.6,23.1,21.7,70,Traditional,0,6,334
326,City Neighbors Charter School,25,4,10,3,5,3,Grade 3,97.5,2.5,2.5,19.4,Charter,1,11,227
346,City Neighbors Hamilton,25,13,7,0,5,0,Grade 4,97.5,2.5,2.5,22.1,Charter,1,5,236
224,Grove Park Elementary,25,14,6,5,0,0,Grade 3,90.6,16.8,26,55.2,Traditional,0,5,260
35,Harlem Park Elementary,26,18,6,0,2,0,Grade 5,90.3,21.5,11,85,Traditional,0,2,334
75,Calverton,26,18,8,0,0,0,Grade 3,86.1,47.5,30.6,80.6,Traditional,0,0,646
204,Mary E. Rodman Elementary,26,4,12,7,3,0,Grade 5,92,20,23.9,82.1,Traditional,0,10,292
332,The Green School,26,4,6,7,9,0,Grade 3,97.5,2.5,2.5,17.6,Charter,1,16,161
346,City Neighbors Hamilton,26,7,5,6,8,0,Grade 5,97.5,2.5,2.5,22.1,Charter,1,14,236
346,City Neighbors Hamilton,26,9,4,6,7,0,Grade 3,97.5,2.5,2.5,22.1,Charter,1,13,236
160,Dr. Carter Godwin Woodson,26,24,0,2,0,0,Grade 5,91.4,28.6,18.4,76.4,Traditional,0,2,361
13,Tench Tilghman Elementary,27,18,6,3,0,0,Grade 4,97.5,24.1,20.5,78.2,Traditional,0,3,404
67,Edgewood Elementary,27,11,9,4,3,0,Grade 4,90.3,23,22.4,70.6,Traditional,0,7,219
97,Collington Square Elementary,27,12,11,4,0,0,Grade 5,85.9,18.3,25.2,84.7,Traditional,0,4,340
225,Westport Academy,27,13,9,3,2,0,Grade 5,90.8,23.1,22.1,80.1,Traditional,0,5,319
261,Lockerman Bundy Elementary,27,4,8,9,6,0,Grade 5,91.4,20.3,20.3,76.3,Traditional,0,15,265
332,The Green School,27,3,7,7,10,0,Grade 4,97.5,2.5,2.5,17.6,Charter,1,17,161
31,Coldstream Park Elementary,27,21,6,0,0,0,Grade 4,89.2,23.8,18.4,65.9,Traditional,0,0,266
28,William Pinderhughes Elementary,28,15,9,2,2,0,Grade 4,90.5,29.4,22,72.9,Traditional,0,4,263
50,Abbottston Elementary,28,8,4,9,7,0,Grade 4,92.4,18.6,14.6,74.8,Traditional,0,16,224
107,Gilmor Elementary,28,17,7,4,0,0,Grade 4,88.2,18.6,26.4,83.3,Traditional,0,4,264
254,"Dr. Martin Luther King, Jr. Elementary",28,9,10,5,4,0,Grade 3,88.4,16.8,21.7,79.9,Traditional,0,9,306
55,Hampden,29,0,6,8,15,0,Grade 5,94,6,8.3,33.8,Traditional,0,23,449
76,Francis Scott Key ElementaryMiddle,29,0,2,6,13,8,Grade 3,94.9,5.5,11.5,17.6,Traditional,0,27,439
50,Abbottston Elementary,30,3,7,7,13,0,Grade 5,92.4,18.6,14.6,74.8,Traditional,0,20,224
