school_number,grade,charter,pass
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,1
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 3,0,0
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,1
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 4,0,0
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,1
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
4,Grade 5,0,0
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,1
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 3,0,0
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,1
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 4,0,0
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,1
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
7,Grade 5,0,0
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,1
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 3,1,0
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,1
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 4,1,0
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,1
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
8,Grade 5,1,0
10,Grade 3,0,1
10,Grade 3,0,1
10,Grade 3,0,1
10,Grade 3,0,1
10,Grade 3,0,1
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 3,0,0
10,Grade 4,0,1
10,Grade 4,0,1
10,Grade 4,0,1
10,Grade 4,0,1
10,Grade 4,0,1
10,Grade 4,0,1
10,Grade 4,0,1
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 4,0,0
10,Grade 5,0,1
10,Grade 5,0,1
10,Grade 5,0,1
10,Grade 5,0,1
10,Grade 5,0,1
10,Grade 5,0,1
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
10,Grade 5,0,0
11,Grade 3,0,1
11,Grade 3,0,1
11,Grade 3,0,1
11,Grade 3,0,1
11,Grade 3,0,1
11,Grade 3,0,1
