school,student,gcse,lrt,girl,schgend,avslrt,schav,vrband,meanLRT,sdLRT,lrt_orig
1,1,2.6131999,6.1905999,1,1,1.6617,2,1,71.539169,4.9322004,74.592499
1,2,1.3406999,2.0580001,1,1,1.6617,2,2,71.539169,4.9322004,72.554214
1,3,-17.239,-13.646,0,1,1.6617,2,3,71.539169,4.9322004,64.808685
1,4,9.6758995,2.0580001,1,1,1.6617,2,2,71.539169,4.9322004,72.554214
1,5,5.4434004,3.711,1,1,1.6617,2,2,71.539169,4.9322004,73.369507
1,6,17.348999,21.893999,0,1,1.6617,2,1,71.539169,4.9322004,82.33773
1,7,10.396,-11.166,0,1,1.6617,2,3,71.539169,4.9322004,66.031876
1,8,-1.2908,-10.34,0,1,1.6617,2,2,71.539169,4.9322004,66.439278
1,9,-9.3937998,-5.3806,1,1,1.6617,2,2,71.539169,4.9322004,68.885353
1,10,-12.195,-14.471999,0,1,1.6617,2,3,71.539169,4.9322004,64.401291
1,11,24.087,24.374001,0,1,1.6617,2,1,71.539169,4.9322004,83.560913
1,12,6.1072998,21.068001,0,1,1.6617,2,1,71.539169,4.9322004,81.930328
1,13,-18.367001,.40499002,0,1,1.6617,2,2,71.539169,4.9322004,71.738922
1,14,-1.2908,11.976,0,1,1.6617,2,1,71.539169,4.9322004,77.445976
1,15,22.031,25.200001,0,1,1.6617,2,1,71.539169,4.9322004,83.968315
1,16,12.405,11.15,1,1,1.6617,2,1,71.539169,4.9322004,77.038574
1,17,17.348999,10.323,1,1,1.6617,2,1,71.539169,4.9322004,76.630676
1,18,13.101,7.8435998,0,1,1.6617,2,1,71.539169,4.9322004,75.407791
1,19,-6.2304997,-11.166,0,1,1.6617,2,3,71.539169,4.9322004,66.031876
1,20,10.396,-11.993,1,1,1.6617,2,3,71.539169,4.9322004,65.623978
1,21,-10.290999,-3.7276001,1,1,1.6617,2,2,71.539169,4.9322004,69.700645
1,22,-12.195,-13.646,0,1,1.6617,2,3,71.539169,4.9322004,64.808685
1,23,3.2807002,-9.5131998,1,1,1.6617,2,2,71.539169,4.9322004,66.847069
1,24,-4.9278002,-23.563999,0,1,1.6617,2,3,71.539169,4.9322004,59.916931
1,25,19.003,-.42151999,1,1,1.6617,2,2,71.539169,4.9322004,71.331268
1,26,8.9657001,3.711,0,1,1.6617,2,1,71.539169,4.9322004,73.369507
1,27,.73536003,11.15,0,1,1.6617,2,1,71.539169,4.9322004,77.038574
1,28,1.9414999,.40499002,0,1,1.6617,2,2,71.539169,4.9322004,71.738922
1,29,15.061999,6.1905999,1,1,1.6617,2,1,71.539169,4.9322004,74.592499
1,30,19.003,20.241001,0,1,1.6617,2,1,71.539169,4.9322004,81.522438
1,31,3.2807002,-6.2070999,0,1,1.6617,2,2,71.539169,4.9322004,68.477707
1,32,8.9657001,-11.166,0,1,1.6617,2,3,71.539169,4.9322004,66.031876
1,33,16.618,2.8845,0,1,1.6617,2,2,71.539169,4.9322004,72.961861
1,34,-7.7610998,-1.2479999,0,1,1.6617,2,2,71.539169,4.9322004,70.92363
1,35,4.0267,3.711,0,1,1.6617,2,1,71.539169,4.9322004,73.369507
1,36,9.6758995,10.323,0,1,1.6617,2,1,71.539169,4.9322004,76.630676
1,37,4.7818999,-1.2479999,0,1,1.6617,2,2,71.539169,4.9322004,70.92363
1,38,1.3406999,1.2315,0,1,1.6617,2,2,71.539169,4.9322004,72.146568
1,39,23.136002,6.1905999,0,1,1.6617,2,1,71.539169,4.9322004,74.592499
1,40,-1.9761001,2.8845,0,1,1.6617,2,2,71.539169,4.9322004,72.961861
1,41,4.7818999,-2.9010999,0,1,1.6617,2,2,71.539169,4.9322004,70.108292
1,42,8.2199001,7.8435998,0,1,1.6617,2,1,71.539169,4.9322004,75.407791
1,43,10.396,-2.9010999,1,1,1.6617,2,2,71.539169,4.9322004,70.108292
1,44,-5.5510998,-10.34,1,1,1.6617,2,2,71.539169,4.9322004,66.439278
1,45,-13.353,-9.5131998,0,1,1.6617,2,2,71.539169,4.9322004,66.847069
1,46,-5.5510998,-23.563999,0,1,1.6617,2,3,71.539169,4.9322004,59.916931
1,47,15.061999,7.8435998,1,1,1.6617,2,1,71.539169,4.9322004,75.407791
1,48,-9.3937998,-3.7276001,0,1,1.6617,2,2,71.539169,4.9322004,69.700645
1,49,23.136002,7.8435998,1,1,1.6617,2,1,71.539169,4.9322004,75.407791
1,50,-.62088001,-7.0336003,1,1,1.6617,2,2,71.539169,4.9322004,68.070053
1,51,-1.9761001,.40499002,0,1,1.6617,2,2,71.539169,4.9322004,71.738922
1,52,-1.9761001,-2.9010999,0,1,1.6617,2,2,71.539169,4.9322004,70.108292
1,53,20.396999,16.109001,1,1,1.6617,2,1,71.539169,4.9322004,79.484451
1,54,16.618,3.711,1,1,1.6617,2,1,71.539169,4.9322004,73.369507
1,55,14.395,16.109001,1,1,1.6617,2,1,71.539169,4.9322004,79.484451
1,56,3.2807002,3.711,1,1,1.6617,2,1,71.539169,4.9322004,73.369507
1,57,.73536003,-.42151999,1,1,1.6617,2,2,71.539169,4.9322004,71.331268
1,58,9.6758995,-2.9010999,1,1,1.6617,2,2,71.539169,4.9322004,70.108292
1,59,-10.290999,-6.2070999,1,1,1.6617,2,2,71.539169,4.9322004,68.477707
1,60,17.348999,16.109001,0,1,1.6617,2,1,71.539169,4.9322004,79.484451
1,61,24.087,11.976,1,1,1.6617,2,1,71.539169,4.9322004,77.445976
1,62,-15.267,-6.2070999,0,1,1.6617,2,2,71.539169,4.9322004,68.477707
1,63,14.395,8.6701002,0,1,1.6617,2,1,71.539169,4.9322004,75.815437
1,64,15.061999,5.3640995,1,1,1.6617,2,1,71.539169,4.9322004,74.184853
1,65,18.138,4.5376,0,1,1.6617,2,1,71.539169,4.9322004,73.777206
1,66,7.4723001,12.803,1,1,1.6617,2,1,71.539169,4.9322004,77.853867
1,67,-10.290999,-12.819,0,1,1.6617,2,3,71.539169,4.9322004,65.216583
1,68,-1.2908,-1.2479999,0,1,1.6617,2,2,71.539169,4.9322004,70.92363
1,69,15.792,2.0580001,0,1,1.6617,2,2,71.539169,4.9322004,72.554214
1,70,13.101,16.935001,0,1,1.6617,2,1,71.539169,4.9322004,79.891853
1,71,-11.186,-8.6866999,1,1,1.6617,2,2,71.539169,4.9322004,67.254715
1,72,8.9657001,8.6701002,0,1,1.6617,2,1,71.539169,4.9322004,75.815437
1,73,2.6131999,3.711,0,1,1.6617,2,2,71.539169,4.9322004,73.369507
2,1,15.792,1.2315,1,3,3.9514999,3,2,48.201733,5.3264241,48.857681
2,2,12.405,7.0170999,1,3,3.9514999,3,1,48.201733,5.3264241,51.939339
