school,student,girl,schgend,gcse,lrt
1,1,1,1,72.613197,66.190598
1,2,1,1,71.340698,62.057999
1,3,0,1,52.761002,46.354
1,4,1,1,79.675903,62.057999
1,5,1,1,75.443398,63.710999
1,6,0,1,87.348999,81.893997
1,7,0,1,80.395996,48.834
1,8,0,1,68.709198,49.66
1,9,1,1,60.606201,54.6194
1,10,0,1,57.805,45.528
1,11,0,1,94.086998,84.374001
1,12,0,1,76.1073,81.068001
1,13,0,1,51.632999,60.404991
1,14,0,1,68.709198,71.975998
1,15,0,1,92.030998,85.199997
1,16,1,1,82.404999,71.150002
1,17,1,1,87.348999,70.322998
1,18,0,1,83.100998,67.843597
1,19,0,1,63.769501,48.834
1,20,1,1,80.395996,48.007
1,21,1,1,59.709,56.2724
1,22,0,1,57.805,46.354
1,23,1,1,73.280701,50.486801
1,24,0,1,65.072197,36.436001
1,25,1,1,89.002998,59.57848
1,26,0,1,78.965698,63.710999
1,27,0,1,70.735359,71.150002
1,28,0,1,71.941498,60.404991
1,29,1,1,85.061996,66.190598
1,30,0,1,89.002998,80.240997
1,31,0,1,73.280701,53.7929
1,32,0,1,78.965698,48.834
1,33,0,1,86.617996,62.884499
1,34,0,1,62.238899,58.751999
1,35,0,1,74.026703,63.710999
1,36,0,1,79.675903,70.322998
1,37,0,1,74.781898,58.751999
1,38,0,1,71.340698,61.231499
1,39,0,1,93.136002,66.190598
1,40,0,1,68.023903,62.884499
1,41,0,1,74.781898,57.0989
1,42,0,1,78.219902,67.843597
1,43,1,1,80.395996,57.0989
1,44,1,1,64.448898,49.66
1,45,0,1,56.646999,50.486801
1,46,0,1,64.448898,36.436001
1,47,1,1,85.061996,67.843597
1,48,0,1,60.606201,56.2724
1,49,1,1,93.136002,67.843597
1,50,1,1,69.37912,52.9664
1,51,0,1,68.023903,60.404991
1,52,0,1,68.023903,57.0989
1,53,1,1,90.397003,76.109001
1,54,1,1,86.617996,63.710999
1,55,1,1,84.394997,76.109001
1,56,1,1,73.280701,63.710999
1,57,1,1,70.735359,59.57848
1,58,1,1,79.675903,57.0989
1,59,1,1,59.709,53.7929
1,60,0,1,87.348999,76.109001
1,61,1,1,94.086998,71.975998
1,62,0,1,54.733002,53.7929
1,63,0,1,84.394997,68.670097
1,64,1,1,85.061996,65.364098
1,65,0,1,88.138,64.537598
1,66,1,1,77.472298,72.803001
1,67,0,1,59.709,47.181
1,68,0,1,68.709198,58.751999
1,69,0,1,85.792,62.057999
1,70,0,1,83.100998,76.934998
1,71,1,1,58.813999,51.313301
1,72,0,1,78.965698,68.670097
1,73,0,1,72.613197,63.710999
2,1,1,3,85.792,61.231499
2,2,1,3,82.404999,67.017097
2,3,1,3,76.1073,62.884499
2,4,1,3,74.781898,67.017097
2,5,1,3,58.813999,53.7929
2,6,1,3,87.348999,72.803001
2,7,1,3,94.086998,66.190598
2,8,1,3,99.247002,69.496704
2,9,1,3,97.018005,55.4459
2,10,1,3,83.100998,71.975998
2,11,1,3,85.061996,70.322998
2,12,1,3,68.709198,47.181
2,13,1,3,68.709198,54.6194
2,14,1,3,76.1073,73.628998
2,15,1,3,100,70.322998
2,16,1,3,92.030998,72.803001
2,17,1,3,75.443398,63.710999
2,18,1,3,63.769501,55.4459
2,19,1,3,84.394997,60.404991
2,20,1,3,80.395996,57.0989
2,21,1,3,70.043221,53.7929
2,22,1,3,74.026703,67.843597
2,23,1,3,63.769501,52.139801
2,24,1,3,83.100998,79.415001
2,25,1,3,59.709,51.313301
2,26,1,3,94.086998,79.415001
2,27,1,3,78.219902,56.2724
2,28,1,3,76.1073,61.231499
2,29,1,3,97.018005,80.240997
2,30,1,3,87.348999,79.415001
2,31,1,3,74.026703,76.934998
2,32,1,3,50.378998,55.4459
2,33,1,3,73.280701,73.628998
2,34,1,3,55.612999,32.303001
2,35,1,3,90.397003,62.884499
2,36,1,3,76.1073,55.4459
2,37,1,3,64.448898,58.751999
2,38,1,3,90.397003,63.710999
2,39,1,3,63.769501,43.048
2,40,1,3,58.813999,53.7929
2,41,1,3,77.472298,60.404991
2,42,1,3,88.138,84.374001
2,43,1,3,89.770996,80.240997
2,44,1,3,57.805,62.057999
2,45,1,3,74.026703,72.803001
2,46,1,3,81.094002,81.893997
2,47,1,3,80.395996,76.109001
2,48,1,3,67.348404,54.6194
2,49,1,3,86.617996,67.017097
2,50,1,3,91.029999,81.893997
2,51,1,3,100,72.803001
2,52,1,3,76.1073,55.4459
2,53,1,3,76.1073,59.57848
2,54,1,3,56.646999,48.834
2,55,1,3,61.473301,48.834
3,1,1,1,68.023903,59.57848
3,2,1,1,99.247002,73.628998
3,3,1,1,63.004898,73.628998
3,4,0,1,94.086998,74.456001
3,5,0,1,78.965698,58.751999
3,6,0,1,71.340698,54.6194
3,7,0,1,63.004898,67.017097
3,8,0,1,70.043221,59.57848
3,9,0,1,69.37912,41.395
3,10,1,1,81.757996,61.231499
3,11,0,1,89.770996,84.374001
3,12,1,1,67.348404,72.803001
3,13,1,1,76.787598,53.7929
3,14,1,1,72.613197,71.975998
3,15,1,1,79.675903,62.057999
3,16,1,1,85.061996,57.9254
3,17,0,1,83.747002,63.710999
3,18,0,1,72.613197,57.9254
3,19,0,1,88.138,71.975998
3,20,1,1,71.340698,63.710999
3,21,0,1,58.813999,48.834
3,22,1,1,74.026703,62.884499
3,23,1,1,85.792,67.017097
3,24,0,1,77.472298,66.190598
3,25,1,1,74.026703,62.884499
3,26,1,1,88.138,72.803001
3,27,0,1,90.397003,84.374001
3,28,0,1,92.030998,78.587997
3,29,1,1,78.219902,70.322998
3,30,1,1,90.397003,69.496704
3,31,0,1,89.770996,84.374001
3,32,0,1,84.394997,67.017097
3,33,1,1,85.792,69.496704
3,34,0,1,82.404999,70.322998
3,35,1,1,83.747002,63.710999
3,36,1,1,78.965698,71.975998
3,37,0,1,78.219902,53.7929
3,38,1,1,91.029999,69.496704
3,39,0,1,66.611603,50.486801
3,40,0,1,80.395996,60.404991
3,41,0,1,84.394997,60.404991
3,42,0,1,71.340698,66.190598
3,43,0,1,81.094002,62.057999
3,44,1,1,85.061996,69.496704
3,45,0,1,60.606201,57.0989
3,46,0,1,67.348404,51.313301
3,47,1,1,76.1073,72.803001
3,48,0,1,77.472298,65.364098
3,49,1,1,65.072197,62.884499
3,50,0,1,68.023903,66.190598
3,51,0,1,79.675903,65.364098
3,52,0,1,92.030998,59.57848
4,1,1,1,76.787598,63.710999
4,2,0,1,74.781898,57.9254
4,3,0,1,72.613197,78.587997
4,4,1,1,71.941498,61.231499
4,5,0,1,52.761002,47.181
4,6,0,1,65.802002,54.6194
4,7,1,1,74.026703,56.2724
4,8,0,1,68.023903,55.4459
4,9,1,1,70.735359,68.670097
4,10,0,1,54.733002,51.313301
4,11,1,1,67.348404,57.0989
4,12,0,1,61.473301,49.66
4,13,0,1,73.280701,79.415001
4,14,0,1,61.473301,52.9664
4,15,0,1,74.026703,59.57848
4,16,0,1,63.004898,57.9254
4,17,1,1,76.787598,55.4459
4,18,1,1,95.323997,68.670097
4,19,0,1,85.792,63.710999
4,20,0,1,53.763,36.436001
4,21,0,1,66.611603,62.884499
4,22,1,1,65.802002,58.751999
4,23,0,1,63.769501,62.057999
4,24,1,1,83.100998,66.190598
4,25,1,1,76.787598,69.496704
4,26,0,1,67.348404,51.313301
4,27,1,1,47.083,51.313301
4,28,0,1,63.004898,48.007
4,29,1,1,55.612999,42.222
4,30,0,1,68.709198,66.190598
4,31,0,1,71.941498,59.57848
4,32,0,1,75.443398,65.364098
4,33,0,1,76.787598,52.9664
4,34,0,1,69.37912,69.496704
4,35,0,1,81.094002,63.710999
4,36,0,1,63.004898,67.843597
4,37,1,1,61.473301,63.710999
4,38,0,1,56.646999,41.395
4,39,0,1,47.083,41.395
4,40,1,1,71.941498,54.6194
4,41,1,1,84.394997,66.190598
4,42,1,1,71.340698,60.404991
4,43,1,1,64.448898,60.404991
4,44,0,1,64.448898,50.486801
4,45,1,1,78.965698,61.231499
4,46,0,1,64.448898,57.9254
4,47,1,1,90.397003,77.762001
4,48,0,1,78.219902,60.404991
4,49,1,1,85.792,54.6194
4,50,1,1,80.395996,60.404991
4,51,1,1,91.029999,82.721001
4,52,0,1,75.443398,71.975998
4,53,0,1,89.770996,83.546997
4,54,1,1,76.787598,75.281998
4,55,0,1,77.472298,67.017097
4,56,0,1,85.061996,81.068001
4,57,1,1,91.029999,68.670097
4,58,0,1,64.448898,52.9664
4,59,1,1,64.448898,53.7929
4,60,1,1,69.37912,68.670097
4,61,0,1,59.709,62.057999
4,62,0,1,63.769501,61.231499
4,63,1,1,65.072197,52.139801
4,64,1,1,60.606201,42.222
4,65,1,1,59.709,52.139801
4,66,1,1,70.735359,66.190598
