female,isei,w_fstuwt,wnrschbw,high_school,college,one_for,both_for,test_lang,pass_read,wvarstr,id
1,37,1224.381,146.02,0,1,1,0,1,1,35,1
1,77,1224.381,146.02,1,0,0,0,1,1,35,1
1,53,1224.381,146.02,0,1,0,0,1,0,35,1
1,30,1224.381,146.02,1,0,0,0,1,0,35,1
1,70,1224.381,146.02,0,1,0,0,1,0,35,1
1,39,1224.381,146.02,0,1,0,0,1,1,35,1
0,34,1224.381,146.02,0,1,0,0,1,0,35,1
0,51,1224.381,146.02,0,1,0,0,1,1,35,1
1,23,1224.381,146.02,0,1,0,0,1,0,35,1
1,59,1224.381,146.02,0,1,0,0,1,0,35,1
1,56,1224.381,146.02,1,0,0,0,1,1,35,1
1,43,1224.381,146.02,1,0,0,0,1,0,35,1
0,49,1224.381,146.02,0,1,0,0,1,0,35,1
0,53,1224.381,146.02,1,0,0,0,1,1,35,1
0,70,1224.381,146.02,0,1,0,0,1,1,35,1
1,28,1224.381,146.02,0,1,0,0,1,0,35,1
0,52,1188.728,105.82,1,0,0,0,1,0,35,2
1,33,1337.318,105.82,1,0,0,0,1,0,35,2
1,43,1188.728,105.82,1,0,0,0,1,1,35,2
0,67,1188.728,105.82,1,0,0,0,1,1,35,2
0,69,1188.728,105.82,0,1,1,0,1,1,35,2
0,23,1188.728,105.82,1,0,0,0,1,1,35,2
1,70,1188.728,105.82,0,1,0,0,1,0,35,2
1,42,1188.728,105.82,0,1,0,0,1,1,35,2
1,33,1188.728,105.82,1,0,0,0,1,0,35,2
1,50,1188.728,105.82,1,0,1,0,1,0,35,2
1,64,1188.728,105.82,1,0,0,0,1,1,35,2
1,30,1188.728,105.82,1,0,0,0,1,0,35,2
0,57,1188.728,105.82,1,0,0,0,1,1,35,2
0,50,1188.728,105.82,1,0,0,0,1,0,35,2
1,71,1337.318,105.82,0,1,0,0,1,1,35,2
0,29,1188.728,105.82,1,0,0,0,1,1,35,2
1,29,1188.728,105.82,0,0,0,0,1,1,35,2
